,Date,Username,Displayname,Tweet Content,Amount of Replies,Retweet Count,Like Count
0,"May 27, 2017 · 2:30 PM UTC",@subinbhattarai1,Subin Bhattarai,"यात्रा त्योसँग सुन्दर लाग्छ, जोसँग कुमसँग कुम, हातमा हात मिलाएर हिँड्न पाइयोस, न कि कसैको पछाडी लाग्न परोस्, न कसैको अगाडी हिँड्नपरोस् !",9,298,680
1,"Jul 7, 2016 · 11:59 AM UTC",@Bhandaridipika,Dee Pee ka,"uffs,what a boring day. :-( :-(",0,0,2
2,"Jun 13, 2016 · 6:46 AM UTC",@sherpapasang__,sherpa pasang 🇳🇵,आजको यो हाम्रो समाजमा अक्सर त्यो मान्छे एक्लै हुन्छ जो सच्चा इमान्दारी र सोझो हुन्छ,5,197,159
3,"Mar 26, 2016 · 2:01 PM UTC",@junkirimaya123,जुनकिरी,"आफ्नै जिन्दगी त अर्कैको ईशारामा चलाऊनु पर्छ यहाँ  अनि अरुको के आश,भरोशा गर्नु आफ्ना लागि",2,6,15
4,"Oct 27, 2015 · 2:04 AM UTC",@RimalGanesh,Ganesh Rimal,"""जो भाग्यमा छ त्यो भागेर नी आफूसगै आउछ तर जो भाग्यमै छैन त्यो आएर नी भागेर जान्छ ।""",18,619,736
5,"Feb 5, 2016 · 4:21 PM UTC",@RimalGanesh,Ganesh Rimal,अचम्म छ दुनियाँ एकैमिनेट्मा मानिसको मन परिवर्तन भएर कहाँ पुग्छ ।,0,6,8
6,"Oct 16, 2015 · 12:51 AM UTC",@IAmBippu,विपिन :),नेता हरु भष्टचार गर्ने ! व्यापारी कालो बजारी गर्ने ! बिद्यार्थी राजनीति गर्ने ! युवा बिदेश जाने ! खेलाडी म्याच फिक्सिङ गर्ने ! #हाम्रो_नेपाल,5,128,178
7,"Dec 11, 2015 · 3:33 PM UTC",@bpdahal2,दा.... भाष्कर,"वार्ता ,वार्ता मानै चिया,विस्कुट,को खर्च कस्ले उठाउछ,अब त अति भो वार्ताको नाउमा सरकारि खर्च धेरै भो,वाधेर घाँस हाल्नपर्यो,दुवै थरिलाई #नेपाल",2,9,17
8,"Sep 15, 2014 · 2:40 AM UTC",@aloofpradip,दहाल,मान्छेको मन पेट्राेलियम पदार्थ जस्तै अति प्रज्वलनशिल हुन्छ.. अरूकाे प्रगति र उन्नतिकाे गन्ध पाउने बित्तिकै जलि हाल्ने।,37,1167,1487
9,"Dec 11, 2015 · 3:37 PM UTC",@Bhandaridipika,Dee Pee ka,barta ko result paelenae tha hunx. :) alwayz #niskarsabihin  :(,0,0,3
10,"Dec 11, 2015 · 3:17 PM UTC",@siru202,सम्झना मनैमा,मधेस आन्दोलन होइन पैसा कमाउने धन्दा भएछ अनि कसरी रोकियोस?? पहिले १० रुपियाँ नहुने अहिले दैनिक १५०० कमाउछन । #BBC,2,6,14
11,"Dec 10, 2015 · 2:43 AM UTC",@RajBallav,Raj Ballav Koirala (राजबल्लभ कोईराला),Happiness is when you Dance with your Mum and Dad.,1,8,18
12,"Nov 30, 2015 · 9:17 AM UTC",@siru202,सम्झना मनैमा,"बार्ता भनेपछी खुसी हुन्न भनेता पनि कताकता खुसी लाउछ,,तर हाम्रा टाउकेहरुले पलभरमै खुसी लुटेर लान्छन,,चिन्ता हामीलाई भएर के गर्नु??",0,3,11
13,"Nov 17, 2015 · 5:08 AM UTC",@sanjudidi,Sanju Ale Rai 🇳🇵,रुख जति नै ठुलोभएपनि उ जन्मेको विज सानो थियो भन्ने तथ्यलाई नजर अन्दाजगरियो भने संसार को  भौतिक सुख प्राप्त  होला तरआत्मिक सन्तुष्टी हुँदैन।।,7,169,299
14,"Nov 21, 2015 · 5:00 AM UTC",@Bhandaridipika,Dee Pee ka,,2,1,12
15,"Nov 21, 2015 · 1:51 AM UTC",@UniqueYg,योगेन™,नेपालिको देशभक्ति र स्वाभिमान टुईटरमा #BackOffIndia बाट सुरु भएर फिल्म हलमा #PremRatanDhanPayo मा पुगेर टुङगिन्छ ।,1,3,3
16,"Sep 29, 2015 · 5:55 AM UTC",@dipakghimireNP,Dipak Ghimire,माफ गर्नुहोस् म नाकाबन्दिको समर्थन गर्दछु किन यो हामिलाई स्वाबलम्भी बनाउने सुबर्ण अबसर हो यदि यो अबसर गुम्यो भने हाम्रो भबिस्य अनिश्चित छ 😑😐,4,109,168
